VALUE,LOCATION,POSTCODE
0,ALEXANDER HEIGHTS,6064
1,ALFRED COVE,6154
2,ALKIMOS,6038
3,ANKETELL,6167
4,APPLECROSS,6153
5,ARDROSS,6153
6,ARMADALE,6112
7,ASCOT,6104
8,ASHBY,6065
9,ASHFIELD,6054
10,ATTADALE,6156
11,ATWELL,6164
12,AUBIN GROVE,6164
13,AVELEY,6069
14,BALCATTA,6021
15,BALDIVIS,6171
16,BALGA,6061
17,BALLAJURA,6066
18,BANJUP,6164
19,BANKSIA GROVE,6031
20,BARRAGUP,6209
21,BASKERVILLE,6056
22,BASSENDEAN,6054
23,BATEMAN,6150
24,BAYSWATER,6053
25,BEACONSFIELD,6162
26,BECKENHAM,6107
27,BEDFORD,6052
28,BEDFORDALE,6112
29,BEECHBORO,6063
30,BEECHINA,6556
31,BEELIAR,6164
32,BELDON,6027
33,BELHUS,6069
34,BELLEVUE,6056
35,BELMONT,6104
36,BENNETT SPRINGS,6063
37,BENTLEY,6102
38,BERTRAM,6167
39,BIBRA LAKE,6163
40,BICKLEY,6076
41,BICTON,6157
42,BLYTHEWOOD,6208
43,BOORAGOON,6154
44,BOUVARD,6211
45,BOYA,6056
46,BRABHAM,6055
47,BRENTWOOD,6153
48,BRIGADOON,6069
49,BROOKDALE,6112
50,BULL CREEK,6149
51,BURNS BEACH,6028
52,BURSWOOD,6100
53,BUTLER,6036
54,BYFORD,6122
55,CALISTA,6167
56,CAMILLO,6111
57,CANNING MILLS,6111
58,CANNING VALE,6155
59,CANNINGTON,6107
60,CARABOODA,6033
61,CARDUP,6122
62,CARINE,6020
63,CARLISLE,6101
64,CARMEL,6076
65,CARRAMAR,6031
66,CASUARINA,6167
67,CAVERSHAM,6055
68,CHAMPION LAKES,6111
69,CHURCHLANDS,6018
70,CITY BEACH,6015
71,CLAREMONT,6010
72,CLARKSON,6030
73,CLOVERDALE,6105
74,COMO,6152
75,CONNOLLY,6027
76,COODANUP,6210
77,COOGEE,6166
78,COOLBELLUP,6163
79,COOLBINIA,6050
80,COOLOONGUP,6168
81,COTTESLOE,6011
82,CRAIGIE,6025
83,CRAWLEY,6009
84,CULLACABARDEE,6067
85,CURRAMBINE,6028
86,DAGLISH,6008
87,DALKEITH,6009
88,DARCH,6065
89,DARLING DOWNS,6122
90,DARLINGTON,6070
91,DAWESVILLE,6211
92,DAYTON,6055
93,DIANELLA,6059
94,DOUBLEVIEW,6018
95,DUDLEY PARK,6210
96,DUNCRAIG,6023
97,EAST CANNINGTON,6107
98,EAST FREMANTLE,6158
99,EAST PERTH,6004
100,EAST ROCKINGHAM,6168
101,EAST VICTORIA PARK,6101
102,EDEN HILL,6054
103,EDGEWATER,6027
104,EGLINTON,6034
105,ELLENBROOK,6069
106,EMBLETON,6062
107,ERSKINE,6210
108,FAIRBRIDGE,6208
109,FALCON,6210
110,FERNDALE,6148
111,FLOREAT,6014
112,FORRESTDALE,6112
113,FORRESTFIELD,6058
114,FREMANTLE,6160
115,FURNISSDALE,6209
